DATE,LRHUTTTTFRM156S
2000-01-01,10.2333333333333333
2000-04-01,9.7000000000000000
2000-07-01,9.2666666666666667
2000-10-01,8.9000000000000000
2001-01-01,8.7000000000000000
2001-04-01,8.7333333333333333
2001-07-01,8.8000000000000000
2001-10-01,8.8000000000000000
2002-01-01,8.7666666666666667
2002-04-01,8.6333333333333333
2002-07-01,8.6000000000000000
2002-10-01,8.5666666666666667
2003-01-01,8.3000000000000000
2003-04-01,8.4333333333333333
2003-07-01,8.5000000000000000
2003-10-01,8.8000000000000000
2004-01-01,8.8000000000000000
2004-04-01,8.8000000000000000
2004-07-01,8.8000000000000000
2004-10-01,8.9000000000000000
2005-01-01,8.7000000000000000
2005-04-01,8.8666666666666667
2005-07-01,8.9333333333333333
2005-10-01,9.0666666666666667
2006-01-01,9.1000000000000000
2006-04-01,8.9333333333333333
2006-07-01,8.8333333333333333
2006-10-01,8.4333333333333333
2007-01-01,8.4000000000000000
2007-04-01,8.1000000000000000
2007-07-01,7.9333333333333333
2007-10-01,7.5000000000000000
2008-01-01,7.2666666666666667
2008-04-01,7.3000000000000000
2008-07-01,7.4666666666666667
2008-10-01,7.8000000000000000
2009-01-01,8.5666666666666667
2009-04-01,9.0666666666666667
2009-07-01,9.2000000000000000
2009-10-01,9.5000000000000000
2010-01-01,9.3000000000000000
2010-04-01,9.2666666666666667
2010-07-01,9.2333333333333333
2010-10-01,9.2000000000000000
2011-01-01,9.1000000000000000
2011-04-01,9.1333333333333333
2011-07-01,9.2000000000000000
2011-10-01,9.3666666666666667
2012-01-01,9.5000000000000000
2012-04-01,9.6666666666666667
2012-07-01,9.8000000000000000
2012-10-01,10.1000000000000000
2013-01-01,10.3333333333333333
2013-04-01,10.4000000000000000
2013-07-01,10.2666666666666667
2013-10-01,10.2000000000000000
2014-01-01,10.2000000000000000
2014-04-01,10.2000000000000000
2014-07-01,10.3000000000000000
2014-10-01,10.4333333333333333
2015-01-01,10.4000000000000000
2015-04-01,10.5000000000000000
2015-07-01,10.3333333333333333
2015-10-01,10.2333333333333333
2016-01-01,10.2333333333333333
2016-04-01,10.0333333333333333
2016-07-01,9.8666666666666667
2016-10-01,10.0333333333333333
2017-01-01,9.6000000000000000
2017-04-01,9.5000000000000000
2017-07-01,9.5333333333333333
2017-10-01,9.0666666666666667
2018-01-01,9.2000000000000000
2018-04-01,9.0666666666666667
2018-07-01,9.0000000000000000
2018-10-01,8.8333333333333333
2019-01-01,8.6666666666666667
2019-04-01,8.5000000000000000
2019-07-01,8.4666666666666667
2019-10-01,8.2333333333333333
2020-01-01,7.7000000000000000
2020-04-01,8.2333333333333333
